date,alpha,beta
5/23/17,28.5,26.2
5/22/17,29.2,26.2
5/21/17,29.5,25.5
5/20/17,29.6,26.1
5/19/17,29.5,27.3
5/18/17,29,27
5/17/17,29,27
5/16/17,27.9,26.7
5/15/17,28.2,26.6
5/14/17,33,25.8
5/13/17,29.5,26.7
5/12/17,29.5,27.9
5/11/17,29.4,27.4
5/10/17,27.6,27
5/9/17,28.3,27
5/8/17,27.9,26.8
5/7/17,28.9,23.7
5/6/17,30.5,26
5/5/17,31.5,24.4
5/4/17,30.4,24.3
5/3/17,30.3,22.7
5/2/17,28.9,23.6
5/1/17,27.2,26.2
4/30/17,29,27.3
4/29/17,29.7,26.6
4/28/17,28.6,24.7
4/27/17,27.9,24.5
4/26/17,27.8,21
4/25/17,26.7,21.7
4/24/17,27.7,24.1
4/23/17,27.6,25.1
4/22/17,28.3,24.6
4/21/17,29.3,22.6
4/20/17,28,22.5
4/19/17,27.3,21.1
4/18/17,26,21.6
4/17/17,25.8,24.3
4/16/17,39.8,25.6
4/15/17,25.5,24.8
4/14/17,27.4,23
4/13/17,26.2,23
4/12/17,25.9,21.2
4/11/17,26.1,22.2
4/10/17,25.9,25
4/9/17,24.6,25.7
4/8/17,26.6,25.4
4/7/17,26.4,23.5
4/6/17,26.4,23.2
4/5/17,25.9,21.4
4/4/17,24.5,22.1
4/3/17,24.2,24.8
4/2/17,25.3,25.3
4/1/17,25.1,24.9
3/31/17,23.9,20.6
3/30/17,22.6,20.4
3/29/17,21.8,19.2
3/28/17,21.2,17.5
3/27/17,22.1,19.3
3/26/17,21.2,19.8